relative_path;has_direct_registrar_alteracao;instantiated_repositories;repos_mutating_without_log;repos_unknown_class
app/adms/Controllers/evaluations/ListEvaluationAnswers.php;0;EvaluationAnswersRepository|EvaluationModelsRepository|EvaluationQuestionsRepository;EvaluationAnswersRepository|EvaluationModelsRepository|EvaluationQuestionsRepository;
app/adms/Controllers/evaluations/ListEvaluationAssignments.php;0;EvaluationAssignmentsRepository|EvaluationModelsRepository;EvaluationAssignmentsRepository|EvaluationModelsRepository;
app/adms/Controllers/evaluations/ListEvaluationModels.php;0;EvaluationModelsRepository;EvaluationModelsRepository;
app/adms/Controllers/evaluations/ListEvaluationQuestions.php;0;EvaluationQuestionsRepository|EvaluationModelsRepository;EvaluationQuestionsRepository|EvaluationModelsRepository;
app/adms/Controllers/evaluations/MyEvaluations.php;0;EvaluationAssignmentsRepository;EvaluationAssignmentsRepository;
app/adms/Controllers/evaluations/PrintEvaluationBlank.php;0;EvaluationModelsRepository|EvaluationQuestionsRepository;EvaluationModelsRepository|EvaluationQuestionsRepository;
app/adms/Controllers/evaluations/PrintEvaluationResult.php;0;EvaluationAttemptsRepository|EvaluationAssignmentsRepository|EvaluationModelsRepository|EvaluationQuestionsRepository|UsersRepository;EvaluationAttemptsRepository|EvaluationAssignmentsRepository|EvaluationModelsRepository|EvaluationQuestionsRepository;
app/adms/Controllers/evaluations/UpdateEvaluationAnswer.php;0;EvaluationAnswersRepository|UsersRepository|EvaluationModelsRepository|EvaluationQuestionsRepository;EvaluationAnswersRepository|EvaluationModelsRepository|EvaluationQuestionsRepository;
app/adms/Controllers/evaluations/UpdateEvaluationModel.php;0;EvaluationModelsRepository|TrainingsRepository|EvaluationQuestionsRepository;EvaluationModelsRepository|EvaluationQuestionsRepository;
app/adms/Controllers/evaluations/UpdateEvaluationQuestion.php;0;EvaluationQuestionsRepository|EvaluationModelsRepository;EvaluationQuestionsRepository|EvaluationModelsRepository;
app/adms/Controllers/evaluations/ViewEvaluationAnswer.php;0;EvaluationAnswersRepository|UsersRepository|EvaluationQuestionsRepository|EvaluationModelsRepository;EvaluationAnswersRepository|EvaluationQuestionsRepository|EvaluationModelsRepository;
app/adms/Controllers/evaluations/ViewEvaluationModel.php;0;EvaluationModelsRepository|EvaluationQuestionsRepository|EvaluationAssignmentsRepository;EvaluationModelsRepository|EvaluationQuestionsRepository|EvaluationAssignmentsRepository;
app/adms/Controllers/evaluations/ViewEvaluationQuestion.php;0;EvaluationQuestionsRepository|EvaluationModelsRepository;EvaluationQuestionsRepository|EvaluationModelsRepository;
app/adms/Controllers/evaluations/ViewEvaluationResult.php;0;EvaluationAttemptsRepository|EvaluationQuestionsRepository;EvaluationAttemptsRepository|EvaluationQuestionsRepository;
