erp_code;description;is_pa;inv_item_id;batches;mp_lines;mae_lines;hh_per_batch;hm_per_batch;power_kw_route;production_line;energy_class;complexity;driver_6;share_criterion_6_pct;pendencias;edit_url
41000085;"L-TRIPTOFANO  FR  X 60 CAPSULAS SOFTGEL";SIM;2435;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/2435
40500075;"LARANJA MORO PLUS X FR 30 CAPSULAS";SIM;4180;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4180
41000088;"LICOFORT FR X 60 CAPSULAS SOFTGEL";SIM;3203;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3203
40500054;"MAGNESIO MALATO 260 MG FR X 60 CAPSULAS";SIM;647;1;5;6;0.2147;0.1700;0;;;media;110.0000;1.4077;sem_linha|sem_classe_energia;http://localhost/administrativo/update-inventory-item/647
43000099;"MAXMAG COMPLEX AG FR X 2 CAPSULAS";SIM;3625;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3625
43000098;"MAXMAG COMPLEX FR X 30 CAPSULAS";SIM;3624;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3624
43000090;"MEGA HAIR GF8 FR X 30 CAPSULAS SOFTGEL";SIM;3547;4;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3547
41000091;"MELATONINA FR  X 60 CAPSULAS SOFTGEL";SIM;4193;4;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4193
41000092;"MELATONINA FR X 120 CAPSULAS SOFTGEL";SIM;4164;5;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4164
41000080;"MELATONINA GF8 0.21 MG 60 SOFTGEL";SIM;2428;6;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/2428
41000125;"MEMORA PLUS FR X 30 CAPSULA SOFTGEL";SIM;4343;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4343
41500043;"METILB12 FR X 60 COMP MASTIGAVEIS";SIM;1375;5;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/1375
40500061;"N-ACETIL L-CISTEINA FR X 60 CAPSULAS";NAO;;4;0;0;0;0;0;;;;0.0000;0.0000;sem_cadastro|driver_6_zero;
43000092;"N-ACETILCISTEINA PURAVIDA FR CT X 60 CAPSULAS";SIM;4123;5;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4123
41000095;"OLEO DE ALHO DES FR  X 60 CAPSULAS SOFTGEL";SIM;140;3;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/140
41000115;"OLEO DE ALHO FR X 60 CAPSULAS SOFTGEL";SIM;4125;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4125
41000101;"OLEO DE CARTAMO FR X 60 CAPSULAS SOFTGEL";SIM;2563;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/2563
